name,color,category,breadcrumbs,description
ZX 1K Boost Shoes,White,Shoes,Women/Shoes,"The ZX series entered the scene in the '80s and took hold of running culture with its groundbreaking approach to speed. These adidas ZX 1K Boost Shoes might not be about performance anymore, but that doesn't mean they're slowing down. Forever forward focused, the progressive silhouette doubles up on comfort with a plush Boost and EVA midsole combo. The mesh upper is accented with synthetic overlays.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
ZX 700 HD shoes,Blue,Shoes,Men/Shoes,Stand still? No thanks. The ZX line has always stood for innovation. The latest addition to adidas' tech-driven line is no exception. These sneakers are the perfect combination of modern materials and retro style. Go ahead. Step into the future.
ZX 700 HD Shoes,Black,Shoes,Men/Shoes,"Can you ever really lose spirit? The adidas ZX series would say no. Years may pass, things may change. The core remains. Not to get too poetic, but this modern version of the iconic shoes does inspire a certain nostalgia. The modern edge balances it out."
Swift Run X Shoes,White,Shoes,Women/Shoes,"While unpredictability can be super fun, reliability sure is nice. Luckily these adidas shoes allow for both. The simple, streamlined look works for all occasions, which means that when something unexpected pops up, they're ready. And they're comfortable. Another great thing to help you settle into the flow."
Runfalcon 2.0 Shoes,Grey,Shoes,Women/Shoes,"Put on these adidas shoes, and you're set for a run in the park followed by coffee with friends. With a mesh upper for added breathability, they're meant to deliver comfort all day long. A durable rubber outsole gives you a solid foundation no matter how busy your schedule."
Swift Run X Shoes,White,Shoes,Men/Shoes,"The future is here. Meet it in style. A spin on a running classic, these adidas shoes are done up with a unique sublimation printing technique. The mesh upper hugs the foot with a snug, sock-like fit, made even more comfortable by the EVA midsole it rides on."
ZX 1K Boost Shoes,Grey,Shoes,Men/Shoes,"Comfort has been at the center of the ZX line since day one. Now it's been turned up. Way up. Boost and EVA come together in these adidas shoes so you get double the cushioning as you glide from heel to toe. Lace up and enjoy the smooth ride. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Superstar Shoes,White,Shoes,Originals/Shoes,"Same look. Same vibe. Different materials. The adidas Superstar Shoes have been in a continuous state of evolution since they debuted on the hardwood in the '70s. So it makes sense that as the world's needs change, so does the icon's intention. These shoes alone will not save the planet, and the side of the shoe will tell you exactly that. But they are made with recycled materials, natural and renewable rubber and a synthetic leather upper. And that's a good start.

This product is made with Primegreen, a series of high-performance recycled materials. 70% of upper is recycled content. No virgin polyester."
Swift Run X Shoes,Grey,Shoes,Men/Shoes,"These adidas Swift Run X Shoes may not be about running anymore, but they are still about speed. Because life isn't slowing down any time soon. Borrowing from different running styles in the adidas archives, they focus on comfort to balance out the daily grind. Lightweight EVA cushioning, a durable rubber outsole and the comfortable textile upper come together to keep you feeling good."
Superstar Shoes,White,Shoes,Originals/Shoes,"These adidas Superstar shoes may just be one pair, but the options are limitless. The transparent 3-Stripes show off your sock game, which means you can change the look of the iconic rubber shell toe on the daily just by switching up your socks. Patterns and bold colors will pop, or you can make the whole look monochrome. Doesn't matter. Just make the look yours. The shoes have a smooth leather upper and the famous rubber shell toe that roots them in their heritage."
Superstar Shoes,White,Shoes,Originals/Shoes,"Same look. Same vibe. Different materials. The adidas Superstar Shoes have been in a continuous state of evolution since they debuted on the hardwood in the '70s. So it makes sense that as the world's needs change, so does the icon's intention. These shoes alone will not save the planet, and the side of the shoe will tell you exactly that. But they are made with recycled materials, natural and renewable rubber and a synthetic leather upper. And that's a good start.

This product is made with Primegreen, a series of high-performance recycled materials. 70% of upper is recycled content. No virgin polyester."
Swift Run X Shoes,Black,Shoes,Men/Shoes,"Does daily life ever feel like its own fitness routine? As you rush out the door, hustle to the gym or zip through errands around town, these adidas shoes help you keep pace. Soft cushioning and snug mesh support your moves. Sleek black keeps the vibe cool and casual."
Swift Run X Shoes,Black,Shoes,Men/Shoes,"These adidas Swift Run X Shoes may not be about running anymore, but they are still about speed. Because life isn't slowing down any time soon. Borrowing from different running styles in the adidas archives, they focus on comfort to balance out the daily grind. Lightweight EVA cushioning, a durable rubber outsole and the comfortable textile upper come together to keep you feeling good."
Superstar Shoes,Yellow,Shoes,Originals/Shoes,"Over the last 50 years, the adidas Superstar Shoes have been continuously shaped by the risk takers and game changers who've worn them. Lace into them yourself and use their legacy as a jumping off point. This version adds in pops of color to emphasize the look. Serrated 3-Stripes. Rubber shell toe. The signature markers are all there."
Superstar Shoes,Blue,Shoes,Men/Shoes,"Worth a double take. A silhouette made famous on the hardwood of the '70s, adidas Superstar Shoes have traveled the world ever since, walking runways and rocking arena stages. At first glance, this version may look just like the original, but if you look closely you'll see hits of metallic gold that gleam from the tongue label to the iconic Trefoil on the heel tab."
Superstar Shoes,White,Shoes,Originals/Shoes,"Dreams of escaping reality? Teleport to a far-flung paradise with the tropical-inspired adidas Superstar – featuring a digitised seaview heel tab and sockliner for those who like their classic 3-Stripe style served with a paper umbrella.  Whether you're cruising around town with your dog or catching some rays on a park bench with a latte, this is a Superstar for every summer situation. Exclusively through adidas."
Swift Run X Shoes,Black,Shoes,Women/Shoes,"These adidas Swift Run X Shoes may not be about running anymore, but they are still about speed. Because life isn't slowing down any time soon. Borrowing from different running styles in the adidas archives, they focus on comfort to balance out the daily grind. Lightweight EVA cushioning, a durable rubber outsole and the comfortable textile upper come together to keep you feeling good."
Nizza Platform Mid Shoes,Green,Shoes,Women/Shoes,"Chunky, but old-school. Take your vintage style to new heights in a pair of adidas Nizza shoes with a platform outsole. The retro upper looks great with all kinds of denim. And who doesn't appreciate a little extra height?"
Ultraboost 21 Shoes,White,Shoes,Men/Shoes,"Prototype after prototype. Innovation after innovation. Testing after testing. Meet us in the hot pursuit of the pinnacle harmonization of weight, cushioning, and responsiveness. Ultraboost 21. Say hello to incredible energy return."
Runfalcon 2.0 Shoes,White,Shoes,Women/Shoes,"Put on these adidas shoes, and you're set for a run in the park followed by coffee with friends. With a mesh upper for added breathability, they're meant to deliver comfort all day long. A durable rubber outsole gives you a solid foundation no matter how busy your schedule."
Swift Run X Shoes,Grey,Shoes,Men/Shoes,"Easy does it. Busy week or laid-back weekend, these Swift Run X Shoes are down for whatever you've got in mind. Borrowing elements from heritage adidas runners originally made for the track, this pair gives the look a fresh spin with a snug mesh upper and sleek welded details. Archive style has never been easier."
QT Racer 2.0 Shoes,White,Shoes,Women/Shoes,Fresh streetwear style meets classic adidas design in these everyday shoes. Run from school to the store with an ultra-soft step powering you through. Get a comfortable ride all day long thanks to the plush Cloudfoam cushioning.
Superstar Shoes,White,Shoes,Originals/Shoes,"Originally made for basketball courts in the '70s. Celebrated by hip hop royalty in the '80s. The adidas Superstar shoe is now a lifestyle staple for streetwear enthusiasts. The world-famous shell toe feature remains, providing style and protection. Just like it did on the B-ball courts back in the day.

Now, whether at a festival or walking in the street you can enjoy yourself without the fear of being stepped on.

The serrated 3-Stripes detail and adidas Superstar box logo adds OG authenticity to your look."
Superstar Shoes,White,Shoes,Originals/Shoes,"Clean, classic and decked out in soft leather. Say hello to world-famous '70s style relaunched and ready for today. Spotlight-worthy since they first appeared on the hardwood in the '70s, these adidas Superstar Shoes continue to hold their icon status. This version pays tribute to the legendary sneakers with an iconic rubber shell toe and serrated 3-Stripes that contrast against the smooth upper."
Ultraboost 21 Shoes,Black,Shoes,Men/Shoes,"Prototype after prototype. Innovation after innovation. Testing after testing. Meet us in the hot pursuit of the pinnacle harmonization of weight, cushioning, and responsiveness. Ultraboost 21. Say hello to incredible energy return."
QT Racer 2.0 Shoes,Grey,Shoes,Women/Shoes,"The shoes your gym bag feels empty without. Whenever there's a chance to squeeze in a run, you'll reach for these adidas running shoes. A streamlined upper with pearlized 3-Stripes rides on a plush Cloudfoam midsole. The miles practically run themselves. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Adilette Clogs,Blue,Shoes,Swim/Shoes,"Based on the iconic adidas slide, these clogs are as functional as they are comfortable. Whether you're walking to the gym or pool for an early-morning workout or just want to keep the slouchy-casual vibe going all through your day, slip your feet into the contoured footbeds and head for the door."
Runfalcon 2.0 Shoes,Grey,Shoes,Kids/Shoes,"Your little one is getting pretty rowdy, so why not let them run? These kids' adidas running shoes are a great starting point for budding athletes. A breathable mesh upper and durable sole will keep them bounding in comfort, whether they're running laps or chasing friends."
Fluidflow 2.0 Shoes,Blue,Shoes,Men/Shoes,It doesn't really matter whether or not a run is in the cards for the day. An ultra-breathable feel and cushy midsole that energizes give these adidas shoes an edge. Hit the pavement or hit the town. You've got the kicks for whatever unfolds.
Superstar Shoes,White,Shoes,Originals/Shoes,"Originally made for basketball courts in the '70s. Celebrated by hip hop royalty in the '80s. The adidas Superstar shoe is now a lifestyle staple for streetwear enthusiasts. The world-famous shell toe feature remains, providing style and protection. Just like it did on the B-ball courts back in the day.

Now, whether at a festival or walking in the street you can enjoy yourself without the fear of being stepped on.

The serrated 3-Stripes detail and adidas Superstar box logo adds OG authenticity to your look."
QT Racer 2.0 Shoes,Black,Shoes,Women/Shoes,"Bring tropical vibes into the concrete jungle. These running-style shoes have zebra-print 3-Stripes to show off your adventurous side. They're everyday shoes with a clean silhouette and plush cushioning to keep you comfortable all around town. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Runfalcon 2.0 Shoes,Red,Shoes,Kids/Shoes,"Shoes for everyday wear, from the halls at school to gym class to running errands with you on the weekend. Whether your kid is new to the track team or just needs to move through the day with confidence, these adidas sneakers deliver. A lightweight feel provides comfort even on the longest days."
Runfalcon 2.0 Shoes,White,Shoes,Kids/Shoes,"Shoes for everyday wear, from the halls at school to gym class to running errands with you on the weekend. Whether your kid is new to the track team or just needs to move through the day with confidence, these adidas sneakers deliver. A lightweight feel provides comfort even on the longest days."
QT Racer 2.0 Shoes,Black,Shoes,Women/Shoes,"Bring tropical vibes into the concrete jungle. These running-style shoes with floral-print accents were created in collaboration with FARM Rio. They're everyday shoes with a clean silhouette and plush cushioning to keep you comfortable all around town. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Terrex AX4 Primegreen Hiking Shoes,Blue,Shoes,Men/Shoes,"Quiver-of-one trail shoes. From forest hikes to alpine adventures, these adidas Terrex hiking shoes let you explore high and low, near or far. Their dual-density design merges the comfort of a cushioned trail runner with the stability of a hiking shoe to take on hikes, scrambles and via ferratas. The all-conditions grip of Continental™ Rubber means you can trust the AX4 to get you anywhere you want to go without worrying about your feet."
Run Falcon 2.0 Shoes,White,Shoes,Men/Shoes,"Strap up in these running shoes and you're set for a jog in the park followed by coffee with friends. With a mesh upper for outstanding breathability, they're meant to deliver comfort all day long. A durable rubber outsole gives you a solid foundation no matter how busy your schedule."
QT Racer 2.0 Shoes,Black,Shoes,Women/Shoes,Fresh streetwear style meets classic adidas design in these everyday shoes. Run from school to the store with an ultra-soft step powering you through. Get a comfortable ride all day long thanks to the plush Cloudfoam cushioning.
Kaptir Super Shoes,Black,Shoes,Men/Shoes,"A traditional adidas look gets a fun hit of streetwear style in these running-inspired sneakers. Tap into endless energy as you make the rounds, thanks to the adidas Boost midsole. From running errands to a causal night out, you'll be ready for whatever you've got planned."
NMD_R1 Shoes,White,Shoes,Women/Shoes,"How to Make an Impression Without Really Trying: An adidas Guide. Step one, lace into these NMD_R1 Shoes. That's it. The quickest lesson of your life also happens to be the most comfortable. Shout-out to the energy-returning Boost midsole for that. And the sock-like fit.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Runfalcon 2.0 Shoes,Grey,Shoes,Kids/Shoes,"Shoes for everyday wear, from the halls at school to gym class to running errands with you on the weekend. Whether your kid is new to the track team or just needs to move through the day with confidence, these adidas sneakers deliver. A lightweight feel provides comfort even on the longest days."
FortaRun Lace Running Shoes,Grey,Shoes,Kids/Shoes,"Trying out for the track team may be years away, but there's plenty of running to do right now. These kids' adidas shoes have plush Cloudfoam cushioning to keep them comfortable as they sprint through the park or race down the street. A durable non-marking outsole stands up to hard-playing kids. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content."
QT Racer 2.0 Shoes,Pink,Shoes,Women/Shoes,"Made for all-day comfort, these adidas sneakers have a Cloudfoam midsole that is ultra-soft. Their look is inspired by classic running design with timeless 3-Stripes drawing attention right away. They have a streetwear vibe that makes them easy to mix and match with your everyday wear."
QT Racer 2.0 Shoes,Black,Shoes,Women/Shoes,Fresh streetwear style meets classic adidas design in these everyday shoes. Run from school to the store with an ultra-soft step powering you through. Get a comfortable ride all day long thanks to the plush Cloudfoam cushioning.
Response Super 2.0 Shoes,White,Shoes,Men/Shoes,"Move through your day feeling comfortable and ready for anything with these adidas running shoes. A mesh upper is breathable, keeping your feet fresh even on warm days. Energized cushioning puts a spring in every step you take.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Mexico Gamemode Firm Ground Cleats,White,Shoes,Soccer/Shoes,"Why do we all love soccer? Because out there on the pitch, we can be anything we want. Choose your adidas Gamemode and play the beautiful game your way. These cleats have a HybridTouch upper for a soft touch and a universal fit for added comfort. Underneath, a versatile outsole provides a platform for self-expression on firm ground and artificial grass. Up top, Mexico's colors and badge show you stand with your team."
Response Super 2.0 Shoes,White,Shoes,Men/Shoes,"Move through your day feeling comfortable and ready for anything with these adidas running shoes. A mesh upper is breathable, keeping your feet fresh even on warm days. Energized cushioning puts a spring in every step you take.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Runfalcon 2.0 Shoes,Black,Shoes,Kids/Shoes,"Shoes for everyday wear, from the halls at school to gym class to running errands with you on the weekend. Whether your kid is new to the track team or just needs to move through the day with confidence, these adidas sneakers deliver. A lightweight feel provides comfort even on the longest days."
Fluidflow 2.0 Shoes,White,Shoes,Women/Shoes,It doesn't really matter whether or not a run is in the cards for the day. An ultra-breathable feel and cushy midsole that energizes give these adidas running shoes an edge. Hit the pavement or hit the town. You've got the kicks for whatever unfolds.
Run Falcon 2.0 Shoes,Orange,Shoes,Men/Shoes,"Strap up in these running shoes and you're set for a jog in the park followed by coffee with friends. With a mesh upper for outstanding breathability, they're meant to deliver comfort all day long. A durable rubber outsole gives you a solid foundation no matter how busy your schedule."
Response Super 2.0 Shoes,Pink,Shoes,Women/Shoes,"From a morning run in the park to an afternoon at the gym and everything in between, crush your workouts in versatile comfort with these adidas running shoes. A snug-fitting upper gives you ankle support with a full range of motion. Responsive Boost cushioning keeps your feet always feeling ready for that next step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Gamemode Firm Ground Cleats,Silver,Shoes,Soccer/Shoes,"Why do we all love soccer? Because out there on the pitch, we can be anything we want. Choose your adidas Gamemode and play the beautiful game your way. These cleats have a HybridTouch upper for a soft touch and a universal fit for added comfort. Underneath, a versatile outsole provides a platform for self-expression on firm ground and artificial grass. Up top, vibrant graphics borrow from the Uniforia ball used at Europe's showpiece summer event."
Kaptir Super Shoes,Grey,Shoes,Women/Shoes,"While there's no mistaking the look of classic adidas running style in these sneakers, they're clearly here to deliver in the present with a vibe that's both sleek and sporty. Unmissable Boost in the heel gives them a distinctive look and brings endless energy to your step. Strap these on for a smooth ride on the busiest of days."
Run Falcon 2.0 Shoes,Blue,Shoes,Men/Shoes,"Strap up in these running shoes and you're set for a jog in the park followed by coffee with friends. With a mesh upper for outstanding breathability, they're meant to deliver comfort all day long. A durable rubber outsole gives you a solid foundation no matter how busy your schedule."
ZX 1K Boost Shoes,White,Shoes,Kids/Shoes,"Worthy of the ZX name, these juniors' adidas shoes put innovation on display. Inspired by cutting-edge ZX styles from the archive, this pair shows off a soft mesh upper mixed with synthetic suede. For a hit of modern tech, Boost and EVA combine to create a cushioned midsole that's ready to take on the future, one comfy step at a time."
Kaptir Super Shoes,Black,Shoes,Women/Shoes,"While there's no mistaking the look of classic adidas running style in these sneakers, they're clearly here to deliver in the present with a vibe that's both sleek and sporty. Unmissable Boost in the heel gives them a distinctive look and brings endless energy to your step. Strap these on for a smooth ride on the busiest of days."
Response Super 2.0 Shoes,Black,Shoes,Women/Shoes,"From a morning run in the park to an afternoon at the gym and everything in between, crush your workouts in versatile comfort with these adidas running shoes. A snug-fitting upper gives you ankle support with a full range of motion. Responsive Boost cushioning keeps your feet always feeling ready for that next step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Kaptir Super Shoes,Grey,Shoes,Men/Shoes,"As a lover of sports, you're always in motion. Make sure your feet are comfortable in these adidas running-inspired shoes. Energized midsole cushioning keeps you on your toes from the first step of your busy day to the last. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
OZWEEGO Pure Shoes,Black,Shoes,Men/Shoes,"The whole ""don't judge a book by its cover"" thing? We get it. We also believe in an exception to the rule, and this adidas sneaker is one of them. Because these shoes are serving up exactly what you see at first glance — bold, distinctive style. Only thing not immediately visible is their comfort, but you feel it the moment you step into them, thanks to Adiprene cushioning."
Kaptir Super Shoes,Black,Shoes,Men/Shoes,"As a lover of sports, you're always in motion. Make sure your feet are comfortable in these adidas running-inspired shoes. Energized midsole cushioning keeps you on your toes from the first step of your busy day to the last. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Ultraboost 21 x Parley Shoes,White,Shoes,Men/Shoes,"Raise your own bar. That's what adidas did when we updated the legendary Ultraboost running shoes with even more energy-returning benefits than before. The responsive Boost midsole, foot-hugging upper and grippy yet flexible sole are still here. Now, a Linear Energy Push system gives extra propulsion to each step with increased forefoot and midfoot stiffness. This version is made using recycled materials, part of adidas commitment to help end plastic waste.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 92% of the textile is Primeblue yarn. No virgin polyester."
Kaptir Super Shoes,White,Shoes,Women/Shoes,"While there's no mistaking the look of classic adidas running style in these sneakers, they're clearly here to deliver in the present with a vibe that's both sleek and sporty. Unmissable Boost in the heel gives them a distinctive look and brings endless energy to your step. Strap these on for a smooth ride on the busiest of days."
FortaRun Lace Running Shoes,Red,Shoes,Kids/Shoes,"Trying out for the track team may be years away, but there's plenty of running to do right now. These kids' adidas shoes have plush Cloudfoam cushioning to keep them comfortable as they sprint through the park or race down the street. A durable non-marking outsole stands up to hard-playing kids. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content."
Response Super 2.0 Shoes,Black,Shoes,Men/Shoes,"Move through your day feeling comfortable and ready for anything with these adidas running shoes. A mesh upper is breathable, keeping your feet fresh even on warm days. Energized cushioning puts a spring in every step you take.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Ultraboost DNA 1.0 Shoes,Turquoise,Shoes,Running/Shoes,"Bringing it back to the OG pair. These shoes have the same knit pattern we used on the very first Ultraboosts from 2015. Although it carries the DNA of performance running, these trainers are built for the day-to-day. The adidas Primeknit upper has a supportive feel, and the Boost midsole offers comfort you'll have to feel to believe."
Racer TR21 Shoes,Blue,Shoes,Men/Shoes,"Bring the comfort and athletic style of running footwear to your everyday look in these adidas shoes. Step through your day confidently with a snug fit and a lightweight midsole that cushions your feet with every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Ultraboost DNA 1.0 Shoes,Green,Shoes,Running/Shoes,"Bringing it back to the OG pair. These shoes have the same knit pattern we used on the very first Ultraboosts from 2015. Although it carries the DNA of performance running, these trainers are built for the day-to-day. The adidas Primeknit upper has a supportive feel, and the Boost midsole offers comfort you'll have to feel to believe."
NMD_R1 V2 Shoes,White,Shoes,Men/Shoes,"The future is now. Make the most of today, tomorrow and every day after. Inspired by archival running shoes from the '80s, NMD was created in 2015 to merge everyday style sensibility with modern technologies. These adidas NMD_R1 V2 sneakers keep your feet cushioned and energized with Boost and wrapped up in chic transparent details so you can seize the day your way. The future is yours. Get after it."
Racer TR21 Shoes,Blue,Shoes,Men/Shoes,"Stay comfortable and light on your feet through every step of your day in these shoes. Running-inspired cushioning is lightweight underfoot. The 3-Stripes design brings classic adidas style to any look. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
NMD_R1 V2 Shoes,White,Shoes,Men/Shoes,"The future is now. Make the most of today, tomorrow and every day after. Inspired by archival running shoes from the '80s, NMD was created in 2015 to merge everyday style sensibility with modern technologies. These adidas NMD_R1 V2 sneakers keep your feet cushioned and energized with Boost and wrapped up in chic transparent details so you can seize the day your way. The future is yours. Get after it."
Response Super 2.0 Shoes,Blue,Shoes,Men/Shoes,"Move through your day feeling comfortable and ready for anything with these adidas running shoes. A mesh upper is breathable, keeping your feet fresh even on warm days. Energized cushioning puts a spring in every step you take.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Response Super 2.0 Shoes,Black,Shoes,Men/Shoes,"Move through your day feeling comfortable and ready for anything with these adidas running shoes. A mesh upper is breathable, keeping your feet fresh even on warm days. Energized cushioning puts a spring in every step you take.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
OZWEEGO Pure Shoes,White,Shoes,Men/Shoes,"The whole ""don't judge a book by its cover"" thing? We get it. We also believe in an exception to the rule, and this adidas sneaker is one of them. Because these shoes are serving up exactly what you see at first glance — bold, distinctive style. Only thing not immediately visible is their comfort, but you feel it the moment you step into them, thanks to Adiprene cushioning."
Response Super 2.0 Shoes,Grey,Shoes,Women/Shoes,"From a morning run in the park to an afternoon at the gym and everything in between, crush your workouts in versatile comfort with these adidas running shoes. A snug-fitting upper gives you ankle support with a full range of motion. Responsive Boost cushioning keeps your feet always feeling ready for that next step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
ZX 2K Boost Shoes,White,Shoes,Kids/Shoes,"Some people live in the past. Some only think of the future. Lace up in these juniors' adidas ZX 2K Boost Shoes and see the value in both. Reworking '80s technical runners from the archive, a sandwich mesh upper pairs with futuristic TPU overlays for a look that's part past, part future. Bold logo graphics stand out on the comfortable Boost midsole for a purely modern edge."
ZX 2K Boost Shoes,White,Shoes,Kids/Shoes,"Y'all ready for this? The next era of adidas innovation collides with comfort. These juniors' ZX 2K Boost Shoes build on a legacy of adidas running that started in the '80s and hasn't stopped. By combining Boost cushioning with progressive styling, the ZX dynasty moves into the future with modern, street-ready spirit."
Racer TR21 Shoes,White,Shoes,Women/Shoes,"These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Lite Racer Adapt 4.0 Shoes,White,Shoes,Men/Shoes,"Casual style that's easy to get on and off. You'll want to wear these adidas shoes every day of the week. Inspired by classic running looks, these shoes have a bold adidas graphic on the midfoot band. A mesh upper adds breathability, and the Cloudfoam midsole is ultra comfortable.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
ZX 2K Boost Shoes,Yellow,Shoes,Kids/Shoes,"Some people live in the past. Some only think of the future. Lace up in these juniors' adidas ZX 2K Boost Shoes and see the value in both. Reworking '80s technical runners from the archive, a sandwich mesh upper pairs with futuristic TPU overlays for a look that's part past, part future. Bold logo graphics stand out on the comfortable Boost midsole for a purely modern edge."
Racer TR21 Shoes,Grey,Shoes,Men/Shoes,"Stay comfortable and light on your feet through every step of your day in these shoes. Running-inspired cushioning is lightweight underfoot. The 3-Stripes design brings classic adidas style to any look. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Racer TR Slides,Blue,Shoes,Swim/Shoes,"Introduced in 1972, the beloved adidas Adilette slides have been much copied but never surpassed. Designed to transition seamlessly from the beach to the locker room to running errands around town, this version has a soft EVA bandage upper and a comfortable contoured footbed."
Ultraboost Slip-On DNA Shoes,Black,Shoes,Women/Shoes,"Swift, light and even more effortless than before. These adidas Ultraboost running shoes have a slip-on design that gets you out the door fast and a soft upper that adapts to your foot for a barely-there feel. The Boost midsole returns energy endlessly as you rack up the miles and a flexible sole keeps your stride smooth over blacktop, dirt and slick surfaces. Whatever the distance, whatever the destination, enjoy the ride.

This product is made with Primeblue, a high-performance recycled material made in part with Parley Ocean Plastic. 50% of the upper is textile, 75% of the textile is Primeblue yarn. No virgin polyester."
ZX 1K Shoes,Black,Shoes,Kids/Shoes,"There's no slowing kids down. They grow more, eat more, do more and know more seemingly every day. Keeping up with them can be tough, but these adidas ZX 1K Shoes are up for the job. They've got a long history of running on their side, which means they're all about fast moves and comfort. Lace kids into them and just watch as they step into their own.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
ZX 1K Shoes,White,Shoes,Kids/Shoes,"There's no slowing kids down. They grow more, eat more, do more and know more seemingly every day. Keeping up with them can be tough, but these adidas ZX 1K Shoes are up for the job. They've got a long history of running on their side, which means they're all about fast moves and comfort. Lace kids into them and just watch as they step into their own.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Racer TR21 Shoes,White,Shoes,Men/Shoes,"Stay comfortable and light on your feet through every step of your day in these shoes. Running-inspired cushioning is lightweight underfoot. The 3-Stripes design brings classic adidas style to any look. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
EQ21 Run COLD.RDY Shoes,Black,Shoes,Men/Shoes,"As a die-hard runner, you won't be slowed down by a day of bad weather. Lace up to take on the elements in these adidas running shoes. Winterized COLD.RDY helps your feet stay warm and cozy as you log miles. Lightweight cushioning absorbs impact with each step."
Lite Racer BYD 2.0 Shoes,Green,Shoes,Men/Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Racer TR21 Shoes,Black,Shoes,Women/Shoes,"These adidas shoes bring the athletic style of running footwear to your everyday look. Move confidently through your day in a comfortably snug fit and a lightweight midsole that provides all-day cushioning underfoot.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Gamemode Firm Ground Cleats,White,Shoes,Soccer/Shoes,"Why do we all love soccer? Because out there on the field, we can be anything we want. Choose your adidas Gamemode and play the beautiful game your way. These cleats have a HybridTouch upper for a soft touch and a universal fit for added comfort. Underneath, a versatile outsole provides a platform for self-expression on firm ground and artificial grass."
Bryony Shoes,White,Shoes,Women/Shoes,"Sleek, simple and full of slam dunk energy. Step out in these adidas shoes and stride smoothly in fresh style that got its start on the B-ball court. Whether you've got an impossible to-do list or a carefree weekend ahead of you, the women's specific fit ensures comfort at every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
NMD_R1 Spectoo Shoes,Purple,Shoes,Kids/Shoes,"Always looking towards the future, NMD is all about progress. Inspired by our constantly connected world of streaming data, these juniors' adidas NMD_R1 Spectoo Shoes put a fresh spin on classic NMD style. The sleek textile upper is marked with text graphics and a translucent side panel for a futuristic look. Flexible and responsive, the adidas Boost midsole keeps you comfortable from the first step of the day to the last.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
